




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (2968)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
presynaptic endocytic zone membrane (GO:0098835)	7	5	1.01	+	4.95	1.01E-03	5.11E-03
granular component (GO:0001652)	7	5	1.01	+	4.95	1.01E-03	5.09E-03
cytoplasmic exosome (RNase complex) (GO:0000177)	14	10	2.02	+	4.95	2.20E-06	1.80E-05
mitochondrial permeability transition pore complex (GO:0005757)	7	5	1.01	+	4.95	1.01E-03	5.08E-03
cytoplasmic side of rough endoplasmic reticulum membrane (GO:0098556)	7	5	1.01	+	4.95	1.01E-03	5.07E-03
spliceosomal snRNP complex (GO:0097525)	67	47	9.66	+	4.86	6.28E-25	1.49E-23
nucleolar exosome (RNase complex) (GO:0101019)	10	7	1.44	+	4.85	1.03E-04	6.50E-04
proteasome core complex (GO:0005839)	20	14	2.88	+	4.85	2.68E-08	2.75E-07
ficolin-1-rich granule lumen (GO:1904813)	125	87	18.03	+	4.83	1.33E-44	5.14E-43
COPII vesicle coat (GO:0030127)	16	11	2.31	+	4.77	1.19E-06	1.02E-05
U1 snRNP (GO:0005685)	19	13	2.74	+	4.74	1.31E-07	1.27E-06
alpha-ketoacid dehydrogenase complex (GO:0045240)	19	13	2.74	+	4.74	1.31E-07	1.27E-06
retromer complex (GO:0030904)	22	15	3.17	+	4.73	1.46E-08	1.55E-07
ribosomal subunit (GO:0044391)	186	126	26.82	+	4.70	5.67E-62	2.93E-60
tubular endosome (GO:0097422)	6	4	.87	+	4.62	5.07E-03	2.05E-02
macropinosome (GO:0044354)	9	6	1.30	+	4.62	5.08E-04	2.78E-03
pinosome (GO:0044352)	9	6	1.30	+	4.62	5.08E-04	2.77E-03
