




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
distal axon (GO:0150034)	281	2	.27	+	7.32	3.00E-02	6.12E-01
apical plasma membrane (GO:0016324)	425	3	.41	+	7.26	7.68E-03	3.78E-01
exocytic vesicle membrane (GO:0099501)	147	1	.14	+	7.00	1.34E-01	1.00E00
synaptic vesicle membrane (GO:0030672)	147	1	.14	+	7.00	1.34E-01	1.00E00
transport vesicle (GO:0030133)	452	3	.44	+	6.83	9.09E-03	3.60E-01
perinuclear region of cytoplasm (GO:0048471)	755	5	.73	+	6.81	6.42E-04	9.26E-02
perikaryon (GO:0043204)	152	1	.15	+	6.77	1.38E-01	1.00E00
cell surface (GO:0009986)	924	6	.90	+	6.68	1.82E-04	3.33E-02
lytic vacuole membrane (GO:0098852)	463	3	.45	+	6.67	9.70E-03	3.77E-01
lysosomal membrane (GO:0005765)	463	3	.45	+	6.67	9.70E-03	3.69E-01
lytic vacuole (GO:0000323)	797	5	.77	+	6.46	8.21E-04	9.74E-02
lysosome (GO:0005764)	797	5	.77	+	6.46	8.21E-04	9.20E-02
basal part of cell (GO:0045178)	319	2	.31	+	6.45	3.79E-02	6.95E-01
specific granule (GO:0042581)	160	1	.16	+	6.43	1.45E-01	1.00E00
cytoplasmic side of plasma membrane (GO:0009898)	162	1	.16	+	6.35	1.46E-01	1.00E00
secretory granule membrane (GO:0030667)	325	2	.32	+	6.33	3.92E-02	6.93E-01
tertiary granule (GO:0070820)	164	1	.16	+	6.27	1.48E-01	1.00E00
extrinsic component of membrane (GO:0019898)	168	1	.16	+	6.12	1.51E-01	1.00E00
vacuolar membrane (GO:0005774)	508	3	.49	+	6.08	1.25E-02	4.06E-01
growth cone (GO:0030426)	171	1	.17	+	6.02	1.54E-01	1.00E00
dendritic spine (GO:0043197)	172	1	.17	+	5.98	1.55E-01	1.00E00
neuron spine (GO:0044309)	173	1	.17	+	5.95	1.55E-01	1.00E00
extracellular exosome (GO:0070062)	2102	12	2.04	+	5.87	7.19E-08	1.45E-04
apical part of cell (GO:0045177)	526	3	.51	+	5.87	1.37E-02	4.12E-01
site of polarized growth (GO:0030427)	176	1	.17	+	5.85	1.58E-01	1.00E00
extracellular vesicle (GO:1903561)	2131	12	2.07	+	5.79	8.38E-08	8.46E-05
extracellular organelle (GO:0043230)	2132	12	2.07	+	5.79	8.43E-08	5.67E-05
extracellular membrane-bounded organelle (GO:0065010)	2132	12	2.07	+	5.79	8.43E-08	4.25E-05
vacuole (GO:0005773)	892	5	.87	+	5.77	1.36E-03	1.25E-01
vacuolar lumen (GO:0005775)	179	1	.17	+	5.75	1.60E-01	1.00E00
endocytic vesicle (GO:0030139)	360	2	.35	+	5.72	4.71E-02	7.86E-01
ficolin-1-rich granule (GO:0101002)	186	1	.18	+	5.53	1.66E-01	1.00E00
endosome membrane (GO:0010008)	595	3	.58	+	5.19	1.90E-02	4.92E-01
endocytic vesicle membrane (GO:0030666)	208	1	.20	+	4.95	1.84E-01	1.00E00
protein-DNA complex (GO:0032993)	209	1	.20	+	4.92	1.85E-01	1.00E00
lamellipodium (GO:0030027)	209	1	.20	+	4.92	1.85E-01	1.00E00
recycling endosome (GO:0055037)	215	1	.21	+	4.79	1.90E-01	1.00E00
presynapse (GO:0098793)	647	3	.63	+	4.77	2.37E-02	5.49E-01
axon (GO:0030424)	664	3	.65	+	4.65	2.53E-02	5.62E-01
secretory vesicle (GO:0099503)	1133	5	1.10	+	4.54	3.88E-03	2.61E-01
cation channel complex (GO:0034703)	229	1	.22	+	4.49	2.01E-01	1.00E00
anchoring junction (GO:0070161)	918	4	.89	+	4.48	1.08E-02	3.88E-01
mitochondrial outer membrane (GO:0005741)	233	1	.23	+	4.42	2.04E-01	1.00E00
secretory granule (GO:0030141)	942	4	.92	+	4.37	1.18E-02	3.89E-01
extracellular matrix (GO:0031012)	485	2	.47	+	4.24	7.97E-02	1.00E00
plasma membrane protein complex (GO:0098797)	742	3	.72	+	4.16	3.37E-02	6.48E-01
extracellular space (GO:0005615)	3225	13	3.13	+	4.15	8.74E-07	3.53E-04
external encapsulating structure (GO:0030312)	501	2	.49	+	4.11	8.42E-02	1.00E00
transmembrane transporter complex (GO:1902495)	505	2	.49	+	4.08	8.54E-02	1.00E00
cytoplasmic vesicle membrane (GO:0030659)	1273	5	1.24	+	4.04	6.38E-03	3.48E-01
vesicle membrane (GO:0012506)	1294	5	1.26	+	3.98	6.83E-03	3.53E-01
transporter complex (GO:1990351)	526	2	.51	+	3.91	9.16E-02	1.00E00
organelle outer membrane (GO:0031968)	263	1	.26	+	3.91	2.27E-01	1.00E00
outer membrane (GO:0019867)	265	1	.26	+	3.88	2.28E-01	1.00E00
supramolecular fiber (GO:0099512)	1065	4	1.03	+	3.86	1.78E-02	4.98E-01
supramolecular polymer (GO:0099081)	1065	4	1.03	+	3.86	1.78E-02	4.92E-01
basolateral plasma membrane (GO:0016323)	267	1	.26	+	3.85	2.30E-01	1.00E00
plasma membrane region (GO:0098590)	1336	5	1.30	+	3.85	7.81E-03	3.58E-01
actin cytoskeleton (GO:0015629)	544	2	.53	+	3.78	9.69E-02	1.00E00
endosome (GO:0005768)	1107	4	1.08	+	3.72	2.02E-02	5.04E-01
membrane protein complex (GO:0098796)	1409	5	1.37	+	3.65	9.74E-03	3.64E-01
membrane raft (GO:0045121)	292	1	.28	+	3.52	2.49E-01	1.00E00
membrane microdomain (GO:0098857)	294	1	.29	+	3.50	2.50E-01	1.00E00
basal plasma membrane (GO:0009925)	300	1	.29	+	3.43	2.55E-01	1.00E00
vesicle (GO:0031982)	4083	13	3.97	+	3.28	1.37E-05	3.94E-03
endoplasmic reticulum membrane (GO:0005789)	1260	4	1.22	+	3.27	3.08E-02	6.22E-01
endoplasmic reticulum subcompartment (GO:0098827)	1266	4	1.23	+	3.25	3.13E-02	6.26E-01
nuclear outer membrane-endoplasmic reticulum membrane network (GO:0042175)	1285	4	1.25	+	3.20	3.28E-02	6.43E-01
endoplasmic reticulum lumen (GO:0005788)	326	1	.32	+	3.16	2.73E-01	1.00E00
bounding membrane of organelle (GO:0098588)	2283	7	2.22	+	3.16	4.29E-03	2.80E-01
extracellular region (GO:0005576)	4287	13	4.17	+	3.12	2.38E-05	6.01E-03
plasma membrane signaling receptor complex (GO:0098802)	330	1	.32	+	3.12	2.76E-01	1.00E00
cell junction (GO:0030054)	2441	7	2.37	+	2.95	6.24E-03	3.50E-01
endoplasmic reticulum (GO:0005783)	2120	6	2.06	+	2.91	1.29E-02	4.07E-01
Golgi membrane (GO:0000139)	707	2	.69	+	2.91	1.49E-01	1.00E00
sperm flagellum (GO:0036126)	362	1	.35	+	2.84	2.99E-01	1.00E00
mitochondrion (GO:0005739)	1839	5	1.79	+	2.80	2.82E-02	5.92E-01
monoatomic ion channel complex (GO:0034702)	368	1	.36	+	2.80	3.03E-01	1.00E00
9+2 motile cilium (GO:0097729)	379	1	.37	+	2.72	3.11E-01	1.00E00
postsynapse (GO:0098794)	782	2	.76	+	2.63	1.75E-01	1.00E00
organelle subcompartment (GO:0031984)	1592	4	1.55	+	2.59	6.38E-02	9.90E-01
polymeric cytoskeletal fiber (GO:0099513)	826	2	.80	+	2.49	1.91E-01	1.00E00
mitochondrial envelope (GO:0005740)	837	2	.81	+	2.46	1.95E-01	1.00E00
synapse (GO:0045202)	1694	4	1.65	+	2.43	7.67E-02	1.00E00
plasma membrane bounded cell projection (GO:0120025)	2578	6	2.51	+	2.39	3.14E-02	6.21E-01
cytosol (GO:0005829)	5617	13	5.46	+	2.38	4.71E-04	7.30E-02
cytoplasmic vesicle (GO:0031410)	2614	6	2.54	+	2.36	3.34E-02	6.47E-01
intracellular vesicle (GO:0097708)	2622	6	2.55	+	2.35	3.38E-02	6.44E-01
cell leading edge (GO:0031252)	438	1	.43	+	2.35	3.50E-01	1.00E00
cell projection (GO:0042995)	2695	6	2.62	+	2.29	3.81E-02	6.92E-01
early endosome (GO:0005769)	450	1	.44	+	2.29	3.57E-01	1.00E00
endomembrane system (GO:0012505)	4956	11	4.82	+	2.28	2.86E-03	2.31E-01
synaptic membrane (GO:0097060)	451	1	.44	+	2.28	3.58E-01	1.00E00
neuron projection (GO:0043005)	1358	3	1.32	+	2.27	1.42E-01	1.00E00
motile cilium (GO:0031514)	459	1	.45	+	2.24	3.63E-01	1.00E00
supramolecular complex (GO:0099080)	1899	4	1.85	+	2.17	1.06E-01	1.00E00
organelle membrane (GO:0031090)	3879	8	3.77	+	2.12	3.83E-02	6.90E-01
neuronal cell body (GO:0043025)	485	1	.47	+	2.12	3.79E-01	1.00E00
plasma membrane (GO:0005886)	6087	12	5.92	+	2.03	5.40E-03	3.30E-01
mitochondrial matrix (GO:0005759)	541	1	.53	+	1.90	4.13E-01	1.00E00
cell periphery (GO:0071944)	6541	12	6.36	+	1.89	1.35E-02	4.18E-01
receptor complex (GO:0043235)	549	1	.53	+	1.87	4.18E-01	1.00E00
cell body (GO:0044297)	551	1	.54	+	1.87	4.19E-01	1.00E00
Golgi apparatus (GO:0005794)	1693	3	1.65	+	1.82	2.24E-01	1.00E00
glutamatergic synapse (GO:0098978)	585	1	.57	+	1.76	4.38E-01	1.00E00
membrane (GO:0016020)	9837	16	9.56	+	1.67	5.70E-03	3.38E-01
