




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (20)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
nuclear proteasome complex (GO:0031595)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
extrinsic component of external side of plasma membrane (GO:0031232)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
neuromuscular junction (GO:0031594)	82	0	.08	-	 < 0.01	1.00E00	1.00E00
centrosomal corona (GO:0031592)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
box C/D RNP complex (GO:0170049)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
virus-like capsid (GO:0170047)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sperm glycocalyx (GO:0120238)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
protein kinase 5 complex (GO:0016533)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
stereocilium coat (GO:0120234)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA recombinase auxiliary factor complex (GO:0120231)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
H4 histone acetyltransferase complex (GO:1902562)	45	0	.04	-	 < 0.01	1.00E00	1.00E00
angiogenin-PRI complex (GO:0032311)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GMP reductase complex (GO:1902560)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleotide-activated protein kinase complex (GO:0031588)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic membrane (GO:0042734)	179	0	.17	-	 < 0.01	1.00E00	1.00E00
growth cone filopodium (GO:1990812)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
MWP complex (GO:1990811)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ESCRT III complex (GO:0000815)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle (GO:0030137)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
ESCRT II complex (GO:0000814)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
outer dynein arm docking complex (GO:0120228)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ESCRT I complex (GO:0000813)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
Swr1 complex (GO:0000812)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
midbody (GO:0030496)	212	0	.21	-	 < 0.01	1.00E00	1.00E00
GINS complex (GO:0000811)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
basal body patch (GO:0120220)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endoribonuclease complex (GO:1902555)	35	0	.03	-	 < 0.01	1.00E00	1.00E00
serine/threonine protein kinase complex (GO:1902554)	139	0	.14	-	 < 0.01	1.00E00	1.00E00
MutSbeta complex (GO:0032302)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
MutSalpha complex (GO:0032301)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mismatch repair complex (GO:0032300)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
calpain complex (GO:0110158)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
reelin complex (GO:0110157)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tertiary granule lumen (GO:1904724)	55	0	.05	-	 < 0.01	1.00E00	1.00E00
RSF complex (GO:0031213)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
origin recognition complex (GO:0000808)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
Y chromosome (GO:0000806)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
TIM22 mitochondrial import inner membrane insertion complex (GO:0042721)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
X chromosome (GO:0000805)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
subapical part of cell (GO:0120219)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
COPII vesicle coat (GO:0030127)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial inner membrane peptidase complex (GO:0042720)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CHRAC (GO:0008623)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
SKA complex (GO:0170027)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
COPI vesicle coat (GO:0030126)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
sex chromosome (GO:0000803)	33	0	.03	-	 < 0.01	1.00E00	1.00E00
epsilon DNA polymerase complex (GO:0008622)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
transverse filament (GO:0000802)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
matrilin complex (GO:0120216)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
AP-4 adaptor complex (GO:0030124)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
central element (GO:0000801)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
SWI/SNF complex (GO:0016514)	30	0	.03	-	 < 0.01	1.00E00	1.00E00
AP-3 adaptor complex (GO:0030123)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
smooth muscle contractile fiber (GO:0030485)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
lateral element (GO:0000800)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
core-binding factor complex (GO:0016513)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
AP-1 adaptor complex (GO:0030121)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
sperm head-tail coupling apparatus (GO:0120212)	42	0	.04	-	 < 0.01	1.00E00	1.00E00
SCAR complex (GO:0031209)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
Sec62/Sec63 complex (GO:0031207)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum Sec complex (GO:0031205)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial intermembrane space chaperone complex (GO:0042719)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquinone biosynthesis complex (GO:0110142)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
SNARE complex (GO:0031201)	48	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial fatty acid beta-oxidation multienzyme complex (GO:0016507)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
actin cap (GO:0030478)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
polkadots (GO:0002096)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
caveolar macromolecular signaling complex (GO:0002095)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
photoreceptor distal connecting cilium (GO:0120206)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ankyrin-1 complex (GO:0170014)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
glycocalyx (GO:0030112)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
rod photoreceptor disc membrane (GO:0120202)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
rod photoreceptor outer segment (GO:0120200)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
type III intermediate filament (GO:0045098)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
keratin filament (GO:0045095)	119	0	.12	-	 < 0.01	1.00E00	1.00E00
interleukin-18 receptor complex (GO:0045092)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase complex (GO:0042709)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
TRC complex (GO:0072380)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
extrinsic component of synaptic membrane (GO:0099243)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
outer acrosomal membrane (GO:0002081)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
acrosomal membrane (GO:0002080)	36	0	.03	-	 < 0.01	1.00E00	1.00E00
Fc-epsilon receptor I complex (GO:0032998)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Fc receptor complex (GO:0032997)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
Bcl3-Bcl10 complex (GO:0032996)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-lipid complex (GO:0032994)	40	0	.04	-	 < 0.01	1.00E00	1.00E00
Scc2-Scc4 cohesin loading complex (GO:0090694)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ER membrane insertion complex (GO:0072379)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
inner acrosomal membrane (GO:0002079)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
telomerase holoenzyme complex (GO:0005697)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
U6atac snRNP (GO:0005691)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
U4atac snRNP (GO:0005690)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
kainate selective glutamate receptor complex (GO:0032983)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
myosin filament (GO:0032982)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor complex (GO:0070195)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CNTFR-CLCF1 complex (GO:0097059)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CRLF-CLCF1 complex (GO:0097058)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
TRAF2-GSTP1 complex (GO:0097057)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
mRNA capping enzyme complex (GO:0031533)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
U12-type spliceosomal complex (GO:0005689)	27	0	.03	-	 < 0.01	1.00E00	1.00E00
U6 snRNP (GO:0005688)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase complex (GO:1903958)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
U4 snRNP (GO:0005687)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
U2 snRNP (GO:0005686)	27	0	.03	-	 < 0.01	1.00E00	1.00E00
U1 snRNP (GO:0005685)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
U2-type spliceosomal complex (GO:0005684)	95	0	.09	-	 < 0.01	1.00E00	1.00E00
U7 snRNP (GO:0005683)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
U5 snRNP (GO:0005682)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
spliceosomal complex (GO:0005681)	208	0	.20	-	 < 0.01	1.00E00	1.00E00
anaphase-promoting complex (GO:0005680)	22	0	.02	-	 < 0.01	1.00E00	1.00E00
lysosomal HOPS complex (GO:1902501)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
vacuolar HOPS complex (GO:1902500)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ciliary pocket membrane (GO:0020018)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
shelterin complex (GO:0070187)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary pocket (GO:0020016)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
microvillus membrane (GO:0031528)	33	0	.03	-	 < 0.01	1.00E00	1.00E00
filopodium membrane (GO:0031527)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
brush border membrane (GO:0031526)	59	0	.06	-	 < 0.01	1.00E00	1.00E00
Myb complex (GO:0031523)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
PTW/PP1 phosphatase complex (GO:0072357)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
chromatin silencing complex (GO:0005677)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIH holo complex (GO:0005675)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIF complex (GO:0005674)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
striated muscle dense body (GO:0055120)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIE complex (GO:0005673)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIA complex (GO:0005672)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamatergic postsynaptic density (GO:0099573)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization (GO:0099572)	387	0	.38	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytoskeleton (GO:0099571)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
Ssh1 translocon complex (GO:0071261)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycoprotein complex (GO:0090665)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
DRM complex (GO:0070176)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
PcG protein complex (GO:0031519)	49	0	.05	-	 < 0.01	1.00E00	1.00E00
symbiont-containing vacuole (GO:0020003)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
box H/ACA telomerase RNP complex (GO:0090661)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
host cell plasma membrane (GO:0020002)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum (GO:0097038)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
tRNA (m1A) methyltransferase complex (GO:0031515)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Mis6-Sim4 complex (GO:0031511)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
SUMO activating enzyme complex (GO:0031510)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIID complex (GO:0005669)	46	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA polymerase transcription factor SL1 complex (GO:0005668)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
transcription regulator complex (GO:0005667)	526	0	.51	-	 < 0.01	1.00E00	1.00E00
presynaptic cytoskeleton (GO:0099569)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III complex (GO:0005666)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic region (GO:0099568)	311	0	.30	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II, core complex (GO:0005665)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear origin of replication recognition complex (GO:0005664)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA replication factor C complex (GO:0005663)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA replication factor A complex (GO:0005662)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
2-(3-amino-3-carboxypropyl)histidine synthase complex (GO:0120513)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
translocon complex (GO:0071256)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic U snRNP body (GO:0071254)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial [4Fe-4S] assembly complex (GO:0120510)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cone matrix sheath (GO:0090658)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-trans-Golgi network membrane contact site (GO:0160258)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
apical cytoplasm (GO:0090651)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
tight junction (GO:0070160)	138	0	.13	-	 < 0.01	1.00E00	1.00E00
ciliary basal body (GO:0036064)	338	0	.33	-	 < 0.01	1.00E00	1.00E00
MPP7-DLG1-LIN7 complex (GO:0097025)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
dolichyl-phosphate-mannose-protein mannosyltransferase complex (GO:0031502)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glial cell projection (GO:0097386)	48	0	.05	-	 < 0.01	1.00E00	1.00E00
mannosyltransferase complex (GO:0031501)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha DNA polymerase:primase complex (GO:0005658)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
photoreceptor disc membrane (GO:0097381)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
replication fork (GO:0005657)	76	0	.07	-	 < 0.01	1.00E00	1.00E00
nuclear pre-replicative complex (GO:0005656)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
GDP-mannose pyrophosphorylase complex (GO:0120508)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nucleolar ribonuclease P complex (GO:0005655)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
tRNA-guanine transglycosylase complex (GO:0120507)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear lamina (GO:0005652)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
kinocilium (GO:0060091)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
slit diaphragm (GO:0036057)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
filtration diaphragm (GO:0036056)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
glomerular endothelium fenestra (GO:0036053)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ciliary plasm (GO:0097014)	194	0	.19	-	 < 0.01	1.00E00	1.00E00
snRNA-activating protein complex (GO:0019185)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle lumen (GO:0097013)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
meiotic spindle (GO:0072687)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic spindle (GO:0072686)	194	0	.19	-	 < 0.01	1.00E00	1.00E00
nuclear pore (GO:0005643)	95	0	.09	-	 < 0.01	1.00E00	1.00E00
annulate lamellae (GO:0005642)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
perisynaptic space (GO:0099544)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear envelope lumen (GO:0005641)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear outer membrane (GO:0005640)	33	0	.03	-	 < 0.01	1.00E00	1.00E00
neuronal ribonucleoprotein granule (GO:0071598)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
Nem1-Spo7 phosphatase complex (GO:0071595)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
SREBP-SCAP-Insig complex (GO:0032937)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
SREBP-SCAP complex (GO:0032936)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inner dense plaque of desmosome (GO:0090637)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
outer dense plaque of desmosome (GO:0090636)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
mitochondrial degradosome (GO:0045025)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
INTAC complex (GO:0160232)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
C-fiber (GO:0044299)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell body membrane (GO:0044298)	31	0	.03	-	 < 0.01	1.00E00	1.00E00
MCM8-MCM9 complex (GO:0097362)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
axonal growth cone (GO:0044295)	26	0	.03	-	 < 0.01	1.00E00	1.00E00
lamin filament (GO:0005638)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
cytosolic [4Fe-4S] assembly targeting complex (GO:0097361)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
dendritic growth cone (GO:0044294)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear inner membrane (GO:0005637)	57	0	.06	-	 < 0.01	1.00E00	1.00E00
dendriole (GO:0044293)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
dendrite terminus (GO:0044292)	15	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear envelope (GO:0005635)	516	0	.50	-	 < 0.01	1.00E00	1.00E00
cell-cell contact zone (GO:0044291)	75	0	.07	-	 < 0.01	1.00E00	1.00E00
inhibitory synapse (GO:0060077)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
synapse-associated extracellular matrix (GO:0099535)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
excitatory synapse (GO:0060076)	67	0	.07	-	 < 0.01	1.00E00	1.00E00
MKS complex (GO:0036038)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
haptoglobin-hemoglobin complex (GO:0031838)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
TCR signalosome (GO:0036398)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA N6-methyladenosine methyltransferase complex (GO:0036396)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
perinucleolar compartment (GO:0097356)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA-splicing ligase complex (GO:0072669)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic lattice (GO:0140095)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-plasma kallikrein complex (GO:0036030)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
bBAF complex (GO:0140092)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial crista junction (GO:0044284)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
TOR complex (GO:0038201)	12	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic cytosol (GO:0099524)	29	0	.03	-	 < 0.01	1.00E00	1.00E00
dendritic shaft (GO:0043198)	42	0	.04	-	 < 0.01	1.00E00	1.00E00
presynaptic cytosol (GO:0099523)	28	0	.03	-	 < 0.01	1.00E00	1.00E00
cytosolic region (GO:0099522)	41	0	.04	-	 < 0.01	1.00E00	1.00E00
varicosity (GO:0043196)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
terminal bouton (GO:0043195)	45	0	.04	-	 < 0.01	1.00E00	1.00E00
axon initial segment (GO:0043194)	24	0	.02	-	 < 0.01	1.00E00	1.00E00
meiotic spindle pole (GO:0090619)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
chitosome (GO:0045009)	23	0	.02	-	 < 0.01	1.00E00	1.00E00
outer mitochondrial membrane protein complex (GO:0098799)	25	0	.02	-	 < 0.01	1.00E00	1.00E00
ATP-binding cassette (ABC) transporter complex (GO:0043190)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial protein-containing complex (GO:0098798)	177	0	.17	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-KLK3 complex (GO:0036029)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-thrombin complex (GO:0036028)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid transport complex (GO:1990184)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-PLAU complex (GO:0036027)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Golgi apparatus subcompartment (GO:0098791)	397	0	.39	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-PLAT complex (GO:0036026)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-TMPRSS11E complex (GO:0036025)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pre-replicative complex (GO:0036387)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C inhibitor-TMPRSS7 complex (GO:0036024)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
INO80-type complex (GO:0097346)	27	0	.03	-	 < 0.01	1.00E00	1.00E00
basement membrane/interstitial matrix interface (GO:0140086)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
ripoptosome (GO:0097342)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
interstitial matrix (GO:0005614)	19	0	.02	-	 < 0.01	1.00E00	1.00E00
H4/H2A histone acetyltransferase complex (GO:0043189)	32	0	.03	-	 < 0.01	1.00E00	1.00E00
laminin-5 complex (GO:0005610)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ribonucleoside-diphosphate reductase complex (GO:0005971)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
neurofilament cytoskeleton (GO:0060053)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
P granule (GO:0043186)	28	0	.03	-	 < 0.01	1.00E00	1.00E00
histone pre-mRNA 3'end processing complex (GO:0071204)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
WASH complex (GO:0071203)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
nBAF complex (GO:0071565)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
npBAF complex (GO:0071564)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleus-vacuole junction (GO:0071561)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myofilament (GO:0036379)	26	0	.03	-	 < 0.01	1.00E00	1.00E00
exosome (RNase complex) (GO:0000178)	21	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic exosome (RNase complex) (GO:0000177)	14	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary neurotrophic factor receptor complex (GO:0070110)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
nuclear exosome (RNase complex) (GO:0000176)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
ribonuclease MRP complex (GO:0000172)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
laminin-3 complex (GO:0005608)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
laminin-2 complex (GO:0005607)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
laminin-1 complex (GO:0005606)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
Rab-protein geranylgeranyltransferase complex (GO:0005968)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
basement membrane (GO:0005604)	100	0	.10	-	 < 0.01	1.00E00	1.00E00
protein farnesyltransferase complex (GO:0005965)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
complement component C1 complex (GO:0005602)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphorylase kinase complex (GO:0005964)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
classical-complement-pathway C3/C5 convertase complex (GO:0005601)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen type XIII trimer (GO:0005600)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycine cleavage complex (GO:0005960)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
SAGA-type complex (GO:0070461)	39	0	.04	-	 < 0.01	1.00E00	1.00E00
protein phosphatase type 1 complex (GO:0000164)	20	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA-dependent protein kinase-DNA ligase 4 complex (GO:0005958)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
protein kinase CK2 complex (GO:0005956)	4	0	.00	-	 < 0.01	1.00E00	1.00E00
calcineurin complex (GO:0005955)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
calcium- and calmodulin-dependent protein kinase complex (GO:0005954)	5	0	.00	-	 < 0.01	1.00E00	1.00E00
CAAX-protein geranylgeranyltransferase complex (GO:0005953)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cAMP-dependent protein kinase complex (GO:0005952)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
piP-body (GO:0071547)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
pi-body (GO:0071546)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3m (GO:0071541)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
acrosomal lumen (GO:0043160)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex, eIF3e (GO:0071540)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle (GO:0045335)	148	0	.14	-	 < 0.01	1.00E00	1.00E00
protein phosphatase type 2A complex (GO:0000159)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
VEGF-A complex (GO:1990150)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoplasmic ubiquitin ligase complex (GO:0000153)	13	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear ubiquitin ligase complex (GO:0000152)	47	0	.05	-	 < 0.01	1.00E00	1.00E00
Weibel-Palade body (GO:0033093)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin ligase complex (GO:0000151)	363	0	.35	-	 < 0.01	1.00E00	1.00E00
