




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (70)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of attachment of spindle microtubules to kinetochore (GO:0051988)	23	3	.08	+	38.35	6.36E-05	1.38E-02
chromosome condensation (GO:0030261)	40	5	.14	+	36.75	2.36E-07	1.39E-04
positive regulation of chromosome separation (GO:1905820)	33	3	.11	+	26.73	1.91E-04	3.00E-02
mitotic spindle organization (GO:0007052)	101	9	.34	+	26.20	5.83E-11	1.23E-07
negative regulation of double-strand break repair (GO:2000780)	38	3	.13	+	23.21	2.92E-04	4.06E-02
protein K11-linked ubiquitination (GO:0070979)	39	3	.13	+	22.62	3.15E-04	4.08E-02
sister chromatid segregation (GO:0000819)	146	11	.50	+	22.15	2.37E-12	1.75E-08
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	135	10	.46	+	21.78	2.99E-11	8.82E-08
mitotic nuclear division (GO:0140014)	169	12	.57	+	20.88	4.47E-13	6.59E-09
mitotic sister chromatid segregation (GO:0000070)	142	10	.48	+	20.70	4.95E-11	1.22E-07
regulation of mitotic sister chromatid segregation (GO:0033047)	57	4	.19	+	20.63	4.23E-05	1.02E-02
negative regulation of DNA repair (GO:0045738)	43	3	.15	+	20.51	4.22E-04	4.98E-02
positive regulation of immunoglobulin mediated immune response (GO:0002891)	43	3	.15	+	20.51	4.22E-04	4.94E-02
positive regulation of B cell mediated immunity (GO:0002714)	43	3	.15	+	20.51	4.22E-04	4.90E-02
spindle assembly (GO:0051225)	105	7	.36	+	19.60	6.77E-08	4.54E-05
positive regulation of mitotic cell cycle phase transition (GO:1901992)	91	6	.31	+	19.38	6.61E-07	3.14E-04
regulation of mitotic sister chromatid separation (GO:0010965)	61	4	.21	+	19.28	5.53E-05	1.26E-02
positive regulation of cell cycle phase transition (GO:1901989)	112	6	.38	+	15.75	2.24E-06	1.00E-03
host-mediated perturbation of viral process (GO:0044788)	75	4	.26	+	15.68	1.24E-04	2.26E-02
regulation of chromosome separation (GO:1905818)	76	4	.26	+	15.47	1.31E-04	2.33E-02
spindle organization (GO:0007051)	172	9	.59	+	15.38	6.77E-09	5.55E-06
positive regulation of mitotic cell cycle (GO:0045931)	124	6	.42	+	14.23	4.05E-06	1.66E-03
regulation of sister chromatid segregation (GO:0033045)	107	5	.36	+	13.74	3.20E-05	8.43E-03
nuclear chromosome segregation (GO:0098813)	236	11	.80	+	13.70	4.26E-10	4.49E-07
host-mediated perturbation of symbiont process (GO:0051851)	109	5	.37	+	13.49	3.50E-05	8.90E-03
regulation of chromosome segregation (GO:0051983)	133	6	.45	+	13.26	6.08E-06	2.30E-03
mitotic cytokinesis (GO:0000281)	89	4	.30	+	13.21	2.41E-04	3.56E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	92	4	.31	+	12.78	2.74E-04	3.92E-02
modulation of process of another organism (GO:0035821)	116	5	.39	+	12.67	4.71E-05	1.10E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	95	4	.32	+	12.38	3.09E-04	4.27E-02
regulation of mitotic nuclear division (GO:0007088)	119	5	.40	+	12.35	5.33E-05	1.23E-02
regulation of cytokinesis (GO:0032465)	96	4	.33	+	12.25	3.22E-04	4.10E-02
nuclear division (GO:0000280)	326	13	1.11	+	11.72	6.57E-11	1.08E-07
protein polymerization (GO:0051258)	102	4	.35	+	11.53	4.06E-04	4.83E-02
chromosome segregation (GO:0007059)	339	13	1.15	+	11.27	1.07E-10	1.57E-07
cell cycle phase transition (GO:0044770)	160	6	.54	+	11.03	1.75E-05	5.16E-03
organelle fission (GO:0048285)	354	13	1.20	+	10.80	1.82E-10	2.24E-07
chromosome organization (GO:0051276)	423	15	1.44	+	10.43	9.93E-12	3.66E-08
mitotic cell cycle phase transition (GO:0044772)	147	5	.50	+	10.00	1.45E-04	2.54E-02
regulation of nuclear division (GO:0051783)	147	5	.50	+	10.00	1.45E-04	2.51E-02
positive regulation of transferase activity (GO:0051347)	149	5	.51	+	9.87	1.54E-04	2.64E-02
positive regulation of cell cycle process (GO:0090068)	263	8	.89	+	8.94	3.04E-06	1.32E-03
