




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.XXXX/zenodo.XXXXXXXX Released 2025-10-05
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (437)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
small molecule metabolic process (GO:0044281)	1549	74	32.89	+	2.25	4.09E-11	2.29E-08
protein-containing complex organization (GO:0043933)	1493	71	31.70	+	2.24	1.35E-10	6.54E-08
intracellular protein transport (GO:0006886)	547	26	11.62	+	2.24	1.29E-04	1.27E-02
organophosphate metabolic process (GO:0019637)	977	46	20.75	+	2.22	5.14E-07	1.04E-04
post-transcriptional regulation of gene expression (GO:0010608)	531	25	11.28	+	2.22	3.15E-04	2.81E-02
establishment of protein localization (GO:0045184)	1324	61	28.11	+	2.17	9.80E-09	3.24E-06
intracellular transport (GO:0046907)	1276	57	27.09	+	2.10	1.02E-07	2.80E-05
protein transport (GO:0015031)	1105	49	23.46	+	2.09	1.42E-06	2.53E-04
establishment of localization in cell (GO:0051649)	1585	69	33.66	+	2.05	1.01E-08	3.25E-06
oxoacid metabolic process (GO:0043436)	818	35	17.37	+	2.02	9.34E-05	9.70E-03
organic acid metabolic process (GO:0006082)	827	35	17.56	+	1.99	1.08E-04	1.10E-02
carboxylic acid metabolic process (GO:0019752)	797	33	16.92	+	1.95	3.58E-04	3.12E-02
nitrogen compound transport (GO:0071705)	1543	63	32.76	+	1.92	4.98E-07	1.02E-04
cellular component biogenesis (GO:0044085)	2822	114	59.92	+	1.90	4.08E-12	2.37E-09
intracellular protein localization (GO:0008104)	1875	72	39.81	+	1.81	8.00E-07	1.49E-04
cellular localization (GO:0051641)	1935	74	41.09	+	1.80	7.42E-07	1.42E-04
phosphate-containing compound metabolic process (GO:0006796)	1394	52	29.60	+	1.76	6.94E-05	7.82E-03
phosphorus metabolic process (GO:0006793)	1396	52	29.64	+	1.75	7.09E-05	7.93E-03
primary metabolic process (GO:0044238)	6771	247	143.78	+	1.72	1.92E-24	4.64E-21
macromolecule localization (GO:0033036)	2316	84	49.18	+	1.71	7.78E-07	1.47E-04
cellular component assembly (GO:0022607)	2575	93	54.68	+	1.70	2.34E-07	5.77E-05
metabolic process (GO:0008152)	7657	272	162.59	+	1.67	1.12E-26	8.11E-23
macromolecule metabolic process (GO:0043170)	5431	192	115.32	+	1.66	1.73E-15	1.67E-12
cellular component organization or biogenesis (GO:0071840)	6059	198	128.66	+	1.54	1.50E-12	9.51E-10
establishment of localization (GO:0051234)	3984	129	84.60	+	1.52	2.33E-07	5.85E-05
organelle organization (GO:0006996)	3146	100	66.80	+	1.50	2.14E-05	2.83E-03
transport (GO:0006810)	3754	119	79.71	+	1.49	3.14E-06	4.95E-04
cellular component organization (GO:0016043)	5846	181	124.14	+	1.46	4.01E-09	1.54E-06
localization (GO:0051179)	4600	139	97.68	+	1.42	4.10E-06	6.34E-04
cellular process (GO:0009987)	15672	409	332.78	+	1.23	1.75E-22	3.17E-19
biological_process (GO:0008150)	17839	426	378.80	+	1.12	3.55E-15	3.23E-12
regulation of transcription by RNA polymerase II (GO:0006357)	2652	33	56.31	-	.59	5.00E-04	4.06E-02
nervous system process (GO:0050877)	1509	13	32.04	-	.41	1.26E-04	1.26E-02
G protein-coupled receptor signaling pathway (GO:0007186)	1273	7	27.03	-	.26	4.73E-06	7.23E-04
sensory perception (GO:0007600)	1013	5	21.51	-	.23	2.70E-05	3.38E-03
Unclassified (UNCLASSIFIED)	2741	11	58.20	-	.19	3.55E-15	3.04E-12
detection of stimulus involved in sensory perception (GO:0050906)	563	1	11.95	-	.08	1.43E-04	1.39E-02
detection of stimulus (GO:0051606)	694	1	14.74	-	.07	1.03E-05	1.46E-03
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	437	0	9.28	-	 < 0.01	1.44E-04	1.38E-02
detection of chemical stimulus involved in sensory perception (GO:0050907)	485	0	10.30	-	 < 0.01	4.32E-05	5.11E-03
detection of chemical stimulus (GO:0009593)	522	0	11.08	-	 < 0.01	1.96E-05	2.61E-03
sensory perception of smell (GO:0007608)	467	0	9.92	-	 < 0.01	6.42E-05	7.35E-03
sensory perception of chemical stimulus (GO:0007606)	548	0	11.64	-	 < 0.01	1.36E-05	1.88E-03
