




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.16423886 Released 2025-07-22
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Homo sapiens - REFLIST (20580)	upload_1 (427)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
azurophil granule membrane (GO:0035577)	58	8	1.20	+	6.65	2.49E-05	5.45E-04
lipoprotein particle (GO:1990777)	37	5	.77	+	6.51	9.47E-04	1.38E-02
plasma lipoprotein particle (GO:0034358)	37	5	.77	+	6.51	9.47E-04	1.37E-02
integrin complex (GO:0008305)	30	4	.62	+	6.43	3.27E-03	3.90E-02
endosome lumen (GO:0031904)	38	5	.79	+	6.34	1.07E-03	1.52E-02
protein-lipid complex (GO:0032994)	40	5	.83	+	6.02	1.36E-03	1.88E-02
microvillus (GO:0005902)	97	12	2.01	+	5.96	7.92E-07	2.39E-05
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	138	17	2.86	+	5.94	4.31E-09	1.93E-07
blood microparticle (GO:0072562)	144	17	2.99	+	5.69	8.29E-09	3.64E-07
microbody lumen (GO:0031907)	51	6	1.06	+	5.67	6.30E-04	9.70E-03
peroxisomal matrix (GO:0005782)	51	6	1.06	+	5.67	6.30E-04	9.63E-03
external encapsulating structure (GO:0030312)	501	58	10.39	+	5.58	8.36E-27	2.11E-24
extracellular matrix (GO:0031012)	485	56	10.06	+	5.56	7.77E-26	1.74E-23
lysosomal lumen (GO:0043202)	100	11	2.07	+	5.30	7.29E-06	1.84E-04
brush border (GO:0005903)	110	12	2.28	+	5.26	3.07E-06	8.36E-05
endoplasmic reticulum lumen (GO:0005788)	326	35	6.76	+	5.17	1.71E-15	2.03E-13
respiratory chain complex (GO:0098803)	114	12	2.37	+	5.07	4.47E-06	1.17E-04
platelet alpha granule lumen (GO:0031093)	67	7	1.39	+	5.04	4.69E-04	7.45E-03
multivesicular body (GO:0005771)	68	7	1.41	+	4.96	5.14E-04	8.10E-03
